n,PerfectHashingInsertTime,PerfectHashingQueryTime,HashingWithChainingInsertTime,HashingWithChainingQueryTime,RedBlackTreeInsertTime,RedBlackTreeQueryTime
25,0,0,0,0,0,0
50,0,0,0,0,0,0
100,0,0,0,0,0,0
200,0,0,0,0,0,0
400,0,0,0,0,0,0
800,0,0,0,0,0,0
1600,1,0,1,0,1,1
3200,3,0,4,1,5,3
6400,7,0,7,2,9,7
12800,11,0,11,2,15,10
25600,21,0,23,7,33,22
51200,43,0,47,13,71,50
102400,91,0,94,32,151,126
204800,200,0,196,84,292,229
409600,363,0,357,253,672,541
819200,617,1,732,868,1457,1219
1638400,993,3,1391,3415,3242,2674
3276800,1796,7,3022,12784,7623,6314
